,id_1,id_2,cost_1,cost_2,action_1,action_2,prediction_1,prediction_2,payoff_1,payoff_2,correct_prediction_1,correct_prediction_2
r_18_2,13,11,90,150,1,2,2,2,160,50,2,2
r_18_3,10,8,30,170,2,2,2,1,200,200,2,1
r_18_4,5,7,130,130,2,2,2,2,200,200,2,2
r_18_5,0,15,70,30,2,1,2,2,50,220,1,1
r_18_6,6,9,30,10,2,1,1,1,50,240,2,2
r_18_7,12,19,110,150,2,2,2,2,200,200,2,2
r_18_8,1,14,130,130,1,2,1,2,120,50,1,2
r_18_9,4,3,130,190,1,2,2,2,120,50,2,2
r_18_10,21,20,90,10,1,1,1,1,110,190,2,2
r_19_0,3,19,30,10,1,1,1,1,170,190,2,2
r_19_1,8,11,150,130,2,2,2,2,200,200,2,2
r_19_2,17,12,90,90,1,2,2,2,160,50,2,2
r_19_3,14,0,190,190,2,2,2,2,200,200,2,2
r_19_4,7,15,130,90,2,2,2,2,200,200,2,2
r_19_5,21,13,110,50,1,1,1,2,90,150,2,1
r_19_6,16,10,10,170,1,2,2,1,240,50,2,1
r_19_7,1,2,170,30,2,1,2,2,50,220,1,1
r_19_8,9,4,170,170,2,2,2,2,200,200,2,2
r_19_9,20,18,50,150,1,2,2,1,200,50,2,1
r_19_10,6,5,150,150,2,2,2,2,200,200,2,2
r_20_0,1,5,10,30,1,1,2,1,190,170,1,2
r_20_1,11,3,150,10,2,1,1,2,50,240,2,1
r_20_2,8,20,10,70,1,1,1,1,190,130,2,2
r_20_3,21,18,150,90,2,1,1,2,50,160,2,1
r_20_4,10,7,130,70,2,2,1,2,200,200,1,2
r_20_5,0,14,90,110,2,2,2,2,200,200,2,2
r_20_6,16,9,170,90,2,1,1,2,50,160,2,1
r_20_7,15,19,170,170,2,2,2,2,200,200,2,2
r_20_8,6,12,170,30,2,1,1,2,50,220,2,1
r_20_9,17,4,150,190,2,2,2,2,200,200,2,2
r_20_10,2,13,170,190,2,2,2,2,200,200,2,2
r_21_0,14,21,90,50,2,1,1,1,50,200,2,2
r_21_1,1,18,110,150,1,2,2,2,140,50,2,2
r_21_2,5,2,10,150,1,2,2,1,240,50,2,1
r_21_3,12,4,130,30,2,1,1,1,50,220,2,2
r_21_4,15,17,10,190,1,2,2,1,240,50,2,1
r_21_5,9,7,110,130,2,2,2,2,200,200,2,2
r_21_6,3,10,130,90,2,1,2,2,50,160,1,1
