,id_1,id_2,cost_1,cost_2,message_1,message_2,action_1,action_2,prediction_1,prediction_2,payoff_1,payoff_2,correct_prediction_1,correct_prediction_2
r_18_0,7,15,10,70,1,2,1,1,1,1,190,130,2,2
r_18_1,8,9,110,50,2,2,2,1,1,1,50,200,2,1
r_18_2,13,14,90,150,1,2,2,2,2,2,200,200,2,2
r_18_3,1,20,190,130,2,2,2,2,2,2,200,200,2,2
r_18_4,5,10,50,30,1,2,2,1,1,1,50,220,2,1
r_18_5,19,2,150,50,2,1,2,2,2,2,200,200,2,2
r_18_6,17,18,130,70,2,2,2,1,1,2,50,180,2,2
r_18_7,11,3,190,50,2,1,2,2,1,2,200,200,1,2
r_18_8,0,12,70,50,2,2,2,2,2,1,200,200,2,1
r_18_9,4,16,150,110,2,2,2,2,2,2,200,200,2,2
r_18_10,6,21,30,10,1,2,2,1,1,2,50,240,2,2
r_19_0,12,20,150,50,2,2,2,2,2,2,200,200,2,2
r_19_1,13,3,10,150,1,2,1,2,2,1,240,50,2,2
r_19_2,17,4,150,10,2,1,2,1,1,2,50,240,2,2
r_19_3,0,1,30,30,2,1,1,1,2,1,170,170,1,2
r_19_4,7,14,190,70,2,2,2,1,1,2,50,180,2,2
r_19_5,21,2,170,30,2,1,2,2,2,2,200,200,2,2
r_19_6,19,15,170,170,2,2,2,2,2,2,200,200,2,2
r_19_7,9,10,70,30,2,2,2,1,1,1,50,220,2,1
r_19_8,16,6,30,70,1,2,1,1,1,1,170,130,2,2
r_19_9,18,5,170,30,2,1,2,2,1,2,200,200,1,2
r_19_10,8,11,190,70,2,2,2,1,1,2,50,180,2,2
r_20_0,21,13,130,110,2,2,2,2,2,1,200,200,2,1
r_20_1,16,20,130,190,2,2,2,2,2,2,200,200,2,2
r_20_2,11,2,30,30,1,1,1,1,1,1,170,170,2,2
r_20_3,12,1,70,30,2,1,1,1,1,1,130,170,2,2
r_20_4,5,19,130,150,2,2,2,2,2,1,200,200,2,1
r_20_5,9,10,30,70,2,2,1,2,1,1,220,50,1,2
r_20_6,17,6,130,190,2,2,2,2,2,1,200,200,2,1
r_20_7,14,4,30,110,2,2,2,2,2,1,200,200,2,1
r_20_8,7,8,30,10,2,1,1,1,1,1,170,190,2,2
r_20_9,18,0,70,10,2,2,2,2,1,2,200,200,1,2
r_20_10,3,15,110,10,2,1,2,1,1,1,50,240,2,1
r_21_0,18,11,150,70,2,2,2,2,2,2,200,200,2,2
r_21_1,1,4,130,130,2,2,2,2,2,2,200,200,2,2
r_21_2,0,2,50,190,2,2,2,2,2,1,200,200,2,1
r_21_3,6,8,170,50,2,1,2,2,2,2,200,200,2,2
r_21_4,9,3,170,90,2,1,2,2,1,2,200,200,1,2
r_21_5,21,17,90,10,2,1,2,2,2,1,200,200,2,1
r_21_6,19,12,30,70,1,2,2,1,2,1,50,180,1,1
r_21_7,14,13,110,150,2,2,2,2,2,1,200,200,2,1
r_21_8,16,5,130,170,2,2,2,2,2,1,200,200,2,1
r_21_9,10,20,90,30,2,2,2,1,1,2,50,220,2,2
r_21_10,15,7,150,50,2,2,2,1,1,2,50,200,2,2
r_22_0,20,18,110,110,2,2,2,2,2,2,200,200,2,2
r_22_1,19,9,90,50,1,2,2,1,1,1,50,200,2,1
r_22_2,5,14,30,150,1,2,1,2,2,1,220,50,2,2
r_22_3,0,4,130,50,2,1,2,2,2,2,200,200,2,2
r_22_4,11,3,150,30,2,1,2,2,1,2,200,200,1,2
r_22_5,15,12,10,130,1,2,1,1,1,1,190,70,2,2
r_22_6,21,6,50,150,2,2,2,2,2,2,200,200,2,2
r_22_7,1,7,170,30,2,2,2,2,1,2,200,200,1,2
r_22_8,10,16,130,90,2,2,2,2,1,2,200,200,1,2
r_22_9,13,8,30,10,1,1,1,1,1,1,170,190,2,2
r_22_10,2,17,70,10,1,1,1,1,1,1,130,190,2,2
r_23_0,17,11,30,110,2,1,1,2,2,1,220,50,2,2
r_23_1,19,3,50,10,1,1,1,2,1,1,200,50,1,2
r_23_2,5,14,190,190,2,2,2,2,2,2,200,200,2,2
r_23_3,12,21,130,130,2,2,2,2,1,2,200,200,1,2
r_23_4,1,15,50,70,1,2,2,1,1,1,50,180,2,1
r_23_5,13,0,10,110,1,2,1,1,1,1,190,90,2,2
r_23_6,2,20,170,110,2,2,2,2,1,2,200,200,1,2
r_23_7,10,6,110,30,2,1,1,1,1,1,90,170,2,2
r_23_8,18,8,70,110,2,2,2,2,2,1,200,200,2,1
r_23_9,4,9,10,150,1,2,1,2,2,2,240,50,2,1
r_23_10,16,7,130,190,2,2,2,2,2,1,200,200,2,1
r_24_0,1,14,10,170,2,2,1,2,2,2,240,50,2,1
r_24_1,9,18,30,150,2,2,1,2,2,1,220,50,2,2
r_24_2,16,5,10,190,2,2,1,2,2,1,240,50,2,2
r_24_3,19,7,10,170,1,2,2,2,2,1,200,200,2,1
r_24_4,8,0,90,150,1,2,2,2,1,2,200,200,1,2
r_24_5,11,13,30,90,1,1,1,1,1,1,170,110,2,2
r_24_6,20,4,50,110,2,2,1,2,2,1,200,50,2,2
r_24_7,2,3,110,110,2,2,2,2,1,1,200,200,1,1
r_24_8,6,12,190,170,2,2,2,2,1,2,200,200,1,2
r_24_9,15,10,70,110,2,2,2,2,1,1,200,200,1,1
r_24_10,21,17,30,50,2,2,2,2,2,1,200,200,2,1
r_25_0,8,14,130,190,2,2,2,2,2,2,200,200,2,2
r_25_1,3,1,90,50,1,1,1,1,1,2,110,150,2,1
r_25_2,13,10,30,90,1,2,1,1,1,1,170,110,2,2
r_25_3,19,7,110,130,2,2,2,2,1,1,200,200,1,1
