,id_1,id_2,cost_1,cost_2,message_1,message_2,action_1,action_2,prediction_1,prediction_2,payoff_1,payoff_2,correct_prediction_1,correct_prediction_2
r_2263_8,19,17,50,110,1,2,2,2,2,1,200,200,2,1
r_2263_9,13,8,110,110,2,2,2,2,1,1,200,200,1,1
r_2263_10,21,15,50,10,2,1,1,2,2,1,200,50,2,2
r_2264_0,1,7,90,70,2,2,2,2,2,1,200,200,2,1
r_2264_1,4,20,170,130,2,2,2,2,2,2,200,200,2,2
r_2264_2,19,18,70,10,1,2,2,2,1,2,200,200,1,2
r_2264_3,16,14,130,170,2,2,2,2,2,2,200,200,2,2
r_2264_4,9,5,170,110,2,2,2,2,1,2,200,200,1,2
r_2264_5,10,13,30,50,2,1,1,1,1,1,170,150,2,2
r_2264_6,17,0,190,170,2,2,2,2,2,2,200,200,2,2
r_2264_7,2,15,10,50,1,2,1,1,1,1,190,150,2,2
r_2264_8,3,12,190,110,2,2,2,2,1,2,200,200,1,2
r_2264_9,8,21,30,170,1,2,1,2,2,2,220,50,2,1
r_2264_10,11,6,150,10,2,1,2,2,1,2,200,200,1,2
r_2265_0,7,4,130,110,2,2,2,2,1,2,200,200,1,2
r_2265_1,18,19,170,10,2,1,2,2,1,2,200,200,1,2
r_2265_2,21,3,110,170,2,2,2,2,2,1,200,200,2,1
r_2265_3,8,2,130,150,2,2,2,2,2,1,200,200,2,1
r_2265_4,5,10,150,30,2,2,2,1,1,2,50,220,2,2
r_2265_5,0,20,190,150,2,2,2,2,2,2,200,200,2,2
r_2265_6,15,6,150,10,2,1,2,1,1,2,50,240,2,2
r_2265_7,12,13,150,190,2,2,2,2,2,1,200,200,2,1
r_2265_8,11,16,70,130,2,2,2,2,1,2,200,200,1,2
r_2265_9,9,14,30,110,2,2,1,2,1,1,220,50,1,2
r_2265_10,1,17,10,70,2,2,1,2,2,1,240,50,2,2
r_2266_0,1,11,170,90,2,1,2,2,2,2,200,200,2,2
r_2266_1,4,5,150,150,2,2,2,2,2,2,200,200,2,2
r_2266_2,10,21,170,90,2,2,2,2,1,2,200,200,1,2
r_2266_3,12,2,170,130,2,2,2,2,1,2,200,200,1,2
r_2266_4,15,13,150,10,2,1,2,1,1,2,50,240,2,2
r_2266_5,16,9,10,170,2,2,1,2,2,2,240,50,2,1
r_2266_6,8,0,50,110,1,2,1,1,1,2,150,90,2,1
r_2266_7,6,17,90,150,2,2,2,2,1,1,200,200,1,1
r_2266_8,19,3,70,10,1,1,1,2,1,1,180,50,1,2
r_2266_9,18,7,50,70,2,2,2,2,2,1,200,200,2,1
r_2266_10,20,14,170,150,2,2,2,2,2,2,200,200,2,2
r_2267_0,12,6,30,190,2,2,1,2,2,1,220,50,2,2
r_2267_1,18,15,90,10,2,1,2,2,1,1,200,200,1,1
r_2267_2,17,11,50,110,2,1,1,2,2,1,200,50,2,2
r_2267_3,1,7,190,190,2,2,2,2,2,2,200,200,2,2
r_2267_4,14,4,170,50,2,1,2,2,2,2,200,200,2,2
r_2267_5,5,10,110,170,2,2,2,2,2,1,200,200,2,1
r_2267_6,13,20,170,90,2,2,2,2,1,2,200,200,1,2
r_2267_7,2,0,90,110,2,2,2,2,1,2,200,200,1,2
r_2267_8,8,9,30,10,1,2,1,1,1,1,170,190,2,2
r_2267_9,16,19,70,170,2,2,1,2,2,1,180,50,2,2
r_2267_10,3,21,190,190,2,2,2,2,2,2,200,200,2,2
r_2268_0,19,2,170,90,2,2,2,2,1,2,200,200,1,2
r_2268_1,3,20,190,170,2,2,2,2,2,2,200,200,2,2
r_2268_2,17,8,70,30,2,1,1,1,1,1,130,170,2,2
r_2268_3,11,15,70,190,2,2,2,2,2,1,200,200,2,1
r_2268_4,4,9,150,110,2,2,2,2,2,2,200,200,2,2
r_2268_5,6,16,50,190,1,2,2,2,2,1,200,200,2,1
r_2268_6,12,13,190,130,2,2,2,2,1,2,200,200,1,2
r_2268_7,10,21,90,30,2,2,2,1,1,2,50,220,2,2
r_2268_8,0,1,150,10,2,2,2,1,1,2,50,240,2,2
r_2268_9,7,14,190,190,2,2,2,2,2,2,200,200,2,2
r_2268_10,5,18,110,50,2,2,2,2,1,2,200,200,1,2
r_2269_0,4,6,110,110,2,2,2,2,2,1,200,200,2,1
r_2269_1,21,16,50,150,2,2,2,2,2,1,200,200,2,1
r_2269_2,18,3,170,30,2,1,2,2,1,2,200,200,1,2
r_2269_3,12,2,10,130,2,2,1,2,1,1,240,50,1,2
r_2269_4,15,1,130,50,1,1,1,1,1,2,70,150,2,1
r_2269_5,17,11,50,50,2,1,1,1,1,1,150,150,2,2
r_2269_6,7,9,10,130,1,2,1,2,1,2,240,50,1,1
r_2269_7,14,13,190,170,2,2,2,2,2,2,200,200,2,2
r_2269_8,20,19,50,30,2,1,1,1,1,1,150,170,2,2
r_2269_9,0,5,70,30,2,1,2,1,2,1,50,220,1,1
r_2269_10,10,8,10,10,2,1,1,1,1,1,190,190,2,2
r_2270_0,1,12,190,90,2,2,2,2,2,2,200,200,2,2
r_2270_1,20,13,110,150,2,2,2,2,2,1,200,200,2,1
r_2270_2,5,6,130,70,2,2,2,2,1,1,200,200,1,1
r_2270_3,8,0,150,130,2,2,2,2,1,2,200,200,1,2
r_2270_4,17,19,90,90,2,1,1,1,1,1,110,110,2,2
r_2270_5,18,9,10,70,2,2,2,2,2,2,200,200,2,2
r_2270_6,16,10,50,90,1,2,1,1,2,1,150,110,1,2
r_2270_7,15,4,70,150,2,2,2,2,2,1,200,200,2,1
r_2270_8,11,14,50,110,1,2,2,2,2,2,200,200,2,2
r_2270_9,7,3,10,150,1,2,1,2,2,1,240,50,2,2
r_2270_10,2,21,70,10,1,2,2,1,1,2,50,240,2,2
r_2271_0,13,14,90,10,1,2,2,1,1,2,50,240,2,2
r_2271_1,11,3,190,30,2,1,2,2,1,2,200,200,1,2
r_2271_2,2,12,190,90,2,2,2,2,1,2,200,200,1,2
r_2271_3,10,0,50,70,2,2,1,2,1,2,200,50,1,1
r_2271_4,5,6,150,110,2,2,2,2,1,1,200,200,1,1
r_2271_5,16,18,150,30,2,2,2,1,1,2,50,220,2,2
r_2271_6,9,4,10,170,2,2,1,2,2,1,240,50,2,2
r_2271_7,21,20,150,150,2,2,2,2,2,2,200,200,2,2
r_2271_8,1,17,90,150,2,2,2,2,2,1,200,200,2,1
r_2271_9,7,15,50,170,2,2,1,2,2,1,200,50,2,2
r_2271_10,8,19,70,90,1,1,1,1,1,2,130,110,2,1
r_2272_0,12,10,170,50,2,2,2,2,2,2,200,200,2,2
r_2272_1,0,19,70,10,2,1,2,1,1,2,50,240,2,2
r_2272_2,2,7,10,90,1,2,1,1,1,1,190,110,2,2
r_2272_3,6,15,70,190,2,2,2,2,2,1,200,200,2,1
r_2272_4,20,16,10,170,2,2,1,2,2,1,240,50,2,2
r_2272_5,3,8,150,10,2,1,2,1,1,1,50,240,2,1
r_2272_6,14,13,110,130,2,2,2,2,2,1,200,200,2,1
r_2272_7,17,18,130,190,2,2,2,2,2,2,200,200,2,2
r_2272_8,5,9,90,70,2,2,2,2,1,1,200,200,1,1
r_2272_9,4,11,50,90,1,1,1,1,1,1,150,110,2,2
r_2272_10,21,1,10,110,2,2,2,2,2,2,200,200,2,2
r_2273_0,9,6,30,30,2,1,1,1,1,1,170,170,2,2
r_2273_1,0,13,30,50,2,1,1,2,2,1,220,50,2,2
r_2273_2,16,5,130,130,2,2,2,2,2,1,200,200,2,1
r_2273_3,20,7,70,190,2,2,2,2,2,1,200,200,2,1
r_2273_4,12,10,170,130,2,2,2,2,1,2,200,200,1,2
r_2273_5,17,11,30,110,2,1,1,2,2,1,220,50,2,2
r_2273_6,14,2,30,190,2,2,2,2,2,1,200,200,2,1
r_2273_7,1,4,150,50,2,1,2,2,1,2,200,200,1,2
r_2273_8,8,3,150,70,2,1,2,1,1,2,50,180,2,2
r_2273_9,18,19,70,90,2,1,2,2,2,2,200,200,2,2
r_2273_10,15,21,110,70,1,2,2,1,1,2,50,180,2,2
r_2274_0,15,19,110,110,1,2,2,1,1,1,50,140,2,1
r_2274_1,8,6,130,110,2,2,2,2,1,1,200,200,1,1
r_2274_2,20,12,110,10,2,2,2,1,1,2,50,240,2,2
r_2274_3,0,4,150,10,2,1,2,1,1,2,50,240,2,2
r_2274_4,18,9,70,190,2,2,2,2,2,1,200,200,2,1
r_2274_5,11,3,90,190,1,2,2,2,2,1,200,200,2,1
r_2274_6,17,10,50,110,2,2,1,2,2,1,200,50,2,2
r_2274_7,1,13,110,130,2,2,2,2,2,1,200,200,2,1
r_2274_8,5,2,110,70,2,1,1,2,1,1,140,50,1,2
r_2274_9,7,14,50,170,2,2,1,2,2,2,200,50,2,1
r_2274_10,16,21,10,130,2,2,1,2,2,2,240,50,2,1
r_2275_0,17,6,90,170,2,2,1,2,2,1,160,50,2,2
r_2275_1,21,5,190,170,2,2,2,2,2,2,200,200,2,2
r_2275_2,9,2,130,150,2,2,2,2,2,1,200,200,2,1
r_2275_3,16,19,10,170,2,2,1,2,2,2,240,50,2,1
r_2275_4,15,11,190,110,2,1,2,2,1,2,200,200,1,2
r_2275_5,4,18,30,30,1,2,1,1,1,1,170,170,2,2
r_2275_6,7,8,130,150,2,2,2,2,2,1,200,200,2,1
r_2275_7,1,0,70,30,2,2,2,2,1,2,200,200,1,2
r_2275_8,20,10,30,150,2,2,1,2,2,1,220,50,2,2
r_2275_9,13,14,50,90,1,2,1,1,1,2,150,110,2,1
r_2275_10,3,12,50,110,1,2,1,2,2,2,200,50,2,1
r_2276_0,3,7,170,30,2,2,2,1,1,2,50,220,2,2
r_2276_1,17,21,10,50,1,2,1,1,1,2,190,150,2,1
r_2276_2,12,2,190,110,2,2,2,2,2,2,200,200,2,2
r_2276_3,6,16,190,190,2,2,2,2,2,2,200,200,2,2
r_2276_4,15,10,90,90,1,2,2,1,1,1,50,160,2,1
r_2276_5,14,0,70,70,2,2,2,2,2,2,200,200,2,2
r_2276_6,20,9,30,10,2,2,1,1,1,1,170,190,2,2
r_2276_7,5,18,130,150,2,2,2,2,2,2,200,200,2,2
r_2276_8,11,13,30,10,1,1,1,1,2,1,170,190,1,2
r_2276_9,19,1,50,30,1,1,1,1,1,1,150,170,2,2
r_2276_10,8,4,30,170,1,2,1,2,2,1,220,50,2,2
r_2277_0,7,19,10,150,1,2,1,2,2,2,240,50,2,1
r_2277_1,10,18,110,130,2,2,2,2,1,2,200,200,1,2
r_2277_2,14,4,170,30,2,1,2,2,1,2,200,200,1,2
r_2277_3,16,13,10,70,2,2,1,1,2,1,190,130,1,2
r_2277_4,12,8,110,30,2,1,1,1,1,1,90,170,2,2
r_2277_5,9,6,170,10,2,1,2,1,2,2,50,240,1,2
r_2277_6,3,5,70,50,1,1,1,1,1,1,130,150,2,2
r_2277_7,2,15,170,90,2,1,2,2,1,2,200,200,1,2
r_2277_8,0,17,30,150,2,2,1,2,2,1,220,50,2,2
r_2277_9,21,1,170,10,2,2,2,2,2,2,200,200,2,2
r_2277_10,11,20,170,70,2,2,2,2,2,2,200,200,2,2
r_2278_0,1,6,150,10,2,1,2,1,2,2,50,240,1,2
r_2278_1,13,7,110,150,2,2,2,2,1,1,200,200,1,1
r_2278_2,21,2,90,50,2,1,2,2,2,1,200,200,2,1
r_2278_3,19,8,90,70,1,1,1,1,2,1,110,130,1,2
r_2278_4,20,11,10,110,2,1,1,2,2,2,240,50,2,1
r_2278_5,15,5,150,110,2,2,2,2,1,2,200,200,1,2
r_2278_6,18,0,170,150,2,2,2,2,2,2,200,200,2,2
r_2278_7,17,4,190,50,2,1,2,1,1,2,50,200,2,2
r_2278_8,14,16,90,150,2,2,2,2,2,2,200,200,2,2
r_2278_9,12,3,170,10,2,1,2,1,1,2,50,240,2,2
r_2278_10,9,10,190,10,2,2,2,1,2,2,50,240,1,2
r_2279_0,19,12,90,50,1,2,2,1,1,1,50,200,2,1
r_2279_1,1,9,70,30,2,2,2,2,1,1,200,200,1,1
r_2279_2,17,7,190,190,2,2,2,2,2,2,200,200,2,2
r_2279_3,18,11,150,130,2,2,2,2,2,2,200,200,2,2
r_2279_4,8,0,10,90,1,2,1,1,1,1,190,110,2,2
r_2279_5,10,14,10,10,2,2,1,1,1,2,190,190,2,1
r_2279_6,2,13,190,10,2,1,2,1,1,2,50,240,2,2
r_2279_7,6,15,130,110,2,1,1,2,1,1,120,50,1,2
r_2279_8,5,16,70,90,2,2,2,2,1,2,200,200,1,2
r_2279_9,21,3,170,90,2,1,2,2,2,2,200,200,2,2
r_2279_10,4,20,50,110,1,2,1,2,1,1,200,50,1,2
r_2280_0,14,10,10,90,2,2,2,2,2,1,200,200,2,1
r_2280_1,5,8,30,130,1,2,1,1,1,1,170,70,2,2
r_2280_2,2,9,30,190,1,2,1,2,2,1,220,50,2,2
r_2280_3,4,16,130,50,2,1,2,1,1,1,50,200,2,1
r_2280_4,18,17,110,190,2,2,2,2,2,2,200,200,2,2
r_2280_5,0,7,10,90,2,2,1,2,2,1,240,50,2,2
r_2280_6,3,11,110,70,2,2,2,1,1,1,50,180,2,1
r_2280_7,1,21,130,150,2,2,2,2,2,2,200,200,2,2
r_2280_8,15,12,50,10,2,2,1,1,1,2,150,190,2,1
r_2280_9,20,6,150,190,2,2,2,2,2,1,200,200,2,1
r_2280_10,19,13,30,130,1,2,2,2,2,1,200,200,2,1
r_2281_0,12,7,130,190,2,2,2,2,2,1,200,200,2,1
r_2281_1,19,9,70,50,1,2,2,1,1,1,50,200,2,1
r_2281_2,17,20,10,170,1,2,1,2,2,1,240,50,2,2
r_2281_3,16,1,190,30,2,1,2,1,1,2,50,220,2,2
r_2281_4,3,2,10,30,1,1,1,1,1,1,190,170,2,2
r_2281_5,10,4,10,150,2,2,1,2,2,1,240,50,2,2
r_2281_6,6,15,190,190,2,2,2,2,2,2,200,200,2,2
r_2281_7,21,14,70,30,2,2,2,2,2,2,200,200,2,2
r_2281_8,5,18,110,50,2,2,2,2,1,2,200,200,1,2
r_2281_9,11,13,130,70,2,2,2,2,2,1,200,200,2,1
r_2281_10,8,0,10,110,1,2,1,1,1,1,190,90,2,2
r_2282_0,2,8,170,90,2,1,2,2,1,2,200,200,1,2
r_2282_1,0,19,110,90,2,1,2,2,2,2,200,200,2,2
r_2282_2,6,13,90,50,2,1,1,2,2,1,160,50,2,2
r_2282_3,9,3,30,50,2,1,1,2,1,1,220,50,1,2
r_2282_4,12,16,110,90,2,2,2,2,1,1,200,200,1,1
r_2282_5,5,15,10,130,1,1,1,1,1,1,190,70,2,2
r_2282_6,14,17,70,170,2,2,2,2,2,1,200,200,2,1
r_2282_7,1,4,170,130,2,2,2,2,2,2,200,200,2,2
r_2282_8,7,18,70,190,2,2,1,2,2,2,180,50,2,1
r_2282_9,20,11,30,30,2,1,1,1,1,1,170,170,2,2
r_2282_10,21,10,50,50,2,2,2,2,2,1,200,200,2,1
r_2283_0,3,19,170,30,2,1,2,1,1,2,50,220,2,2
r_2283_1,6,13,50,90,1,1,1,1,1,1,150,110,2,2
r_2283_2,20,8,50,190,2,2,1,2,2,1,200,50,2,2
r_2283_3,7,4,110,50,2,1,1,1,1,1,90,150,2,2
r_2283_4,12,10,10,170,2,2,1,2,2,1,240,50,2,2
r_2283_5,11,21,110,50,1,2,2,1,1,2,50,200,2,2
r_2283_6,9,5,150,30,2,1,2,1,1,2,50,220,2,2
r_2283_7,2,17,150,130,2,2,2,2,1,2,200,200,1,2
r_2283_8,1,18,130,150,2,2,2,2,2,2,200,200,2,2
r_2283_9,16,14,50,170,1,2,1,2,2,2,200,50,2,1
r_2283_10,15,0,90,190,1,2,2,2,2,2,200,200,2,2
r_2284_0,21,2,50,130,2,2,2,2,2,1,200,200,2,1
r_2284_1,10,4,90,70,2,2,2,2,1,1,200,200,1,1
r_2284_2,17,0,190,70,2,2,2,1,1,2,50,180,2,2
r_2284_3,13,15,150,130,2,1,2,2,1,2,200,200,1,2
r_2284_4,19,3,110,130,2,2,2,2,1,1,200,200,1,1
r_2284_5,12,5,190,70,2,2,2,2,1,2,200,200,1,2
r_2284_6,7,16,130,70,2,2,2,1,1,2,50,180,2,2
r_2284_7,11,20,50,130,1,2,2,2,2,1,200,200,2,1
r_2284_8,14,6,30,170,2,2,2,2,2,1,200,200,2,1
r_2284_9,9,1,10,130,2,2,1,2,1,2,240,50,1,1
r_2284_10,18,8,110,190,2,2,2,2,2,1,200,200,2,1
r_2285_0,5,20,110,190,2,2,2,2,2,2,200,200,2,2
r_2285_1,15,21,190,30,2,2,2,1,1,2,50,220,2,2
r_2285_2,7,10,150,90,2,2,2,1,1,2,50,160,2,2
r_2285_3,4,2,10,110,1,2,1,2,1,1,240,50,1,2
r_2285_4,13,12,110,130,2,2,2,2,1,2,200,200,1,2
r_2285_5,14,8,110,70,2,1,2,2,2,1,200,200,2,1
r_2285_6,18,6,90,150,2,2,2,2,2,1,200,200,2,1
r_2285_7,19,3,190,90,2,1,2,2,1,2,200,200,1,2
r_2285_8,17,16,130,130,2,2,2,2,2,2,200,200,2,2
r_2285_9,0,1,10,70,2,2,1,2,2,2,240,50,2,1
r_2285_10,11,9,110,90,1,2,2,1,1,1,50,160,2,1
r_2286_0,3,1,90,30,1,1,1,1,1,2,110,170,2,1
r_2286_1,15,4,10,110,1,2,1,1,1,1,190,90,2,2
r_2286_2,2,9,170,130,2,2,2,2,1,2,200,200,1,2
r_2286_3,7,12,30,90,2,2,1,1,1,1,170,110,2,2
r_2286_4,6,21,110,170,2,2,2,2,1,2,200,200,1,2
r_2286_5,14,0,50,150,2,2,2,2,2,2,200,200,2,2
r_2286_6,8,18,10,190,1,2,1,2,2,1,240,50,2,2
r_2286_7,19,17,130,110,2,2,2,2,1,2,200,200,1,2
r_2286_8,16,10,30,90,1,2,1,1,2,1,170,110,1,2
r_2286_9,13,11,90,190,1,2,2,2,2,1,200,200,2,1
r_2286_10,20,5,130,110,2,2,2,2,2,1,200,200,2,1
r_2287_0,14,19,190,10,2,1,2,2,2,2,200,200,2,2
r_2287_1,10,16,170,50,2,1,2,1,1,2,50,200,2,2
r_2287_2,3,13,70,150,1,2,1,2,2,1,180,50,2,2
r_2287_3,17,0,190,170,2,2,2,2,2,2,200,200,2,2
r_2287_4,20,18,190,10,2,2,2,1,1,2,50,240,2,2
r_2287_5,15,11,90,110,1,1,1,1,1,1,110,90,2,2
r_2287_6,2,21,150,150,2,2,2,2,2,2,200,200,2,2
r_2287_7,12,4,190,130,2,2,2,2,1,2,200,200,1,2
r_2287_8,7,6,110,70,2,2,2,1,1,1,50,180,2,1
r_2287_9,1,9,30,170,1,2,2,2,1,1,200,200,1,1
r_2287_10,5,8,110,30,2,1,1,1,1,1,90,170,2,2
r_2288_0,13,10,70,190,2,2,2,2,2,1,200,200,2,1
r_2288_1,21,4,130,190,2,2,2,2,2,2,200,200,2,2
r_2288_2,5,11,190,130,2,2,2,2,1,2,200,200,1,2
r_2288_3,14,9,150,130,2,2,2,2,2,2,200,200,2,2
r_2288_4,0,8,190,90,2,1,2,2,2,2,200,200,2,2
r_2288_5,1,2,190,30,2,1,2,2,1,2,200,200,1,2
r_2288_6,15,16,50,70,2,2,1,2,1,1,200,50,1,2
r_2288_7,19,17,130,70,2,2,2,2,1,2,200,200,1,2
r_2288_8,12,3,70,150,2,2,2,2,2,1,200,200,2,1
r_2288_9,20,18,150,170,2,2,2,2,2,2,200,200,2,2
r_2288_10,7,6,90,30,2,1,1,1,1,1,110,170,2,2
r_2289_0,15,21,190,50,2,2,2,1,1,2,50,200,2,2
r_2289_1,13,11,190,70,2,2,2,2,1,2,200,200,1,2
r_2289_2,14,10,90,130,2,2,2,2,2,1,200,200,2,1
r_2289_3,2,20,170,150,2,2,2,2,2,2,200,200,2,2
r_2289_4,1,0,130,30,2,2,2,2,1,2,200,200,1,2
r_2289_5,9,4,130,50,2,1,1,2,1,2,120,50,1,1
r_2289_6,18,8,130,50,2,1,2,2,1,1,200,200,1,1
r_2289_7,19,16,70,50,1,1,1,1,1,1,130,150,2,2
r_2289_8,12,3,50,150,2,2,2,2,2,1,200,200,2,1
r_2289_9,5,7,190,110,2,2,2,2,1,2,200,200,1,2
r_2289_10,17,6,130,190,2,2,2,2,2,1,200,200,2,1
r_2290_0,5,8,10,30,1,1,1,1,1,1,190,170,2,2
r_2290_1,16,14,70,150,2,2,1,2,2,2,180,50,2,1
r_2290_2,4,1,190,190,2,2,2,2,2,2,200,200,2,2
r_2290_3,13,15,110,130,2,1,1,2,1,1,140,50,1,2
r_2290_4,12,19,10,10,2,1,1,1,1,1,190,190,2,2
r_2290_5,18,2,30,150,2,2,2,2,2,1,200,200,2,1
r_2290_6,0,21,50,50,2,2,2,2,2,2,200,200,2,2
r_2290_7,11,17,50,10,1,1,1,1,2,1,150,190,1,2
r_2290_8,10,3,70,70,2,1,1,2,1,1,180,50,1,2
r_2290_9,9,6,10,30,2,1,1,1,1,1,190,170,2,2
r_2290_10,20,7,150,150,2,2,2,2,2,2,200,200,2,2
r_2291_0,2,3,50,150,1,2,1,2,2,1,200,50,2,2
r_2291_1,16,13,130,110,2,2,2,2,1,1,200,200,1,1
r_2291_2,9,5,70,50,2,1,1,2,1,1,180,50,1,2
r_2291_3,7,18,50,130,2,2,1,2,1,1,200,50,1,2
r_2291_4,4,11,170,30,2,1,2,1,1,2,50,220,2,2
r_2291_5,12,15,190,50,2,2,2,2,2,2,200,200,2,2
r_2291_6,6,8,10,190,1,2,1,2,2,1,240,50,2,2
r_2291_7,20,10,190,70,2,2,2,2,2,2,200,200,2,2
r_2291_8,19,1,130,90,2,2,2,2,1,2,200,200,1,2
r_2291_9,0,17,10,90,2,2,1,2,2,1,240,50,2,2
r_2291_10,14,21,50,70,2,2,2,2,2,2,200,200,2,2
r_2292_0,19,5,130,10,2,1,2,2,2,1,200,200,2,1
r_2292_1,14,3,130,110,2,2,2,2,2,1,200,200,2,1
r_2292_2,4,7,190,10,2,1,2,1,1,2,50,240,2,2
r_2292_3,9,2,130,190,2,2,2,2,2,1,200,200,2,1
r_2292_4,18,17,150,30,2,2,2,2,1,2,200,200,1,2
r_2292_5,10,8,30,50,2,1,1,1,1,1,170,150,2,2
r_2292_6,12,11,50,150,2,2,2,2,2,1,200,200,2,1
r_2292_7,1,6,150,150,2,2,2,2,2,1,200,200,2,1
r_2292_8,15,21,190,30,2,2,2,1,1,2,50,220,2,2
r_2292_9,0,16,70,190,2,2,2,2,2,2,200,200,2,2
r_2292_10,13,20,190,30,2,2,2,1,1,2,50,220,2,2
r_2293_0,20,9,90,130,2,2,2,2,2,1,200,200,2,1
r_2293_1,14,19,90,30,2,1,2,2,1,1,200,200,1,1
r_2293_2,18,1,130,130,2,2,2,2,2,2,200,200,2,2
r_2293_3,16,15,70,90,2,1,1,1,2,1,130,110,1,2
r_2293_4,3,10,170,130,2,2,2,2,1,2,200,200,1,2
r_2293_5,2,0,10,130,1,2,1,1,1,1,190,70,2,2
r_2293_6,4,7,150,130,2,2,2,2,2,2,200,200,2,2
r_2293_7,12,13,170,110,2,2,2,2,2,2,200,200,2,2
r_2293_8,8,6,190,190,2,2,2,2,2,2,200,200,2,2
r_2293_9,5,17,90,130,2,2,2,2,1,1,200,200,1,1
r_2293_10,21,11,150,90,2,1,2,2,2,2,200,200,2,2
r_2294_0,20,16,70,30,2,1,1,1,1,1,130,170,2,2
r_2294_1,14,18,90,30,2,2,2,2,1,2,200,200,1,2
r_2294_2,4,7,130,110,2,2,2,2,2,1,200,200,2,1
r_2294_3,2,1,150,190,2,2,2,2,2,2,200,200,2,2
r_2294_4,15,11,70,90,2,1,1,2,1,1,180,50,1,2
r_2294_5,0,9,10,50,2,2,1,2,2,2,240,50,2,1
r_2294_6,3,8,50,130,1,2,1,2,2,1,200,50,2,2
r_2294_7,17,12,10,130,1,2,1,1,1,1,190,70,2,2
r_2294_8,10,21,130,170,2,2,2,2,2,2,200,200,2,2
r_2294_9,19,13,50,130,1,2,2,2,2,1,200,200,2,1
r_2294_10,6,5,90,30,2,1,1,2,1,1,160,50,1,2
r_2295_0,3,17,170,190,2,2,2,2,2,2,200,200,2,2
r_2295_1,9,4,110,90,2,2,2,2,1,2,200,200,1,2
r_2295_2,10,18,10,190,2,2,1,2,2,1,240,50,2,2
r_2295_3,14,21,110,10,2,2,2,2,2,2,200,200,2,2
r_2295_4,13,20,190,110,2,2,2,2,1,2,200,200,1,2
r_2295_5,7,15,130,70,2,2,2,1,1,1,50,180,2,1
r_2295_6,5,0,190,10,2,2,2,1,1,2,50,240,2,2
r_2295_7,12,6,190,170,2,2,2,2,2,2,200,200,2,2
r_2295_8,2,11,70,190,1,2,2,2,2,2,200,200,2,2
r_2295_9,8,1,190,190,2,2,2,2,2,2,200,200,2,2
r_2295_10,16,19,90,70,2,1,1,1,2,1,110,130,1,2
r_2296_0,12,9,170,70,2,2,2,2,1,2,200,200,1,2
r_2296_1,4,2,50,90,1,2,1,1,1,1,150,110,2,2
r_2296_2,20,10,130,30,2,2,2,1,1,1,50,220,2,1
r_2296_3,11,3,50,110,1,2,2,2,2,1,200,200,2,1
r_2296_4,7,17,30,150,2,2,1,2,2,1,220,50,2,2
r_2296_5,8,13,90,30,1,1,1,1,1,1,110,170,2,2
r_2296_6,19,5,150,10,2,1,2,2,2,2,200,200,2,2
r_2296_7,6,21,90,30,2,2,2,2,1,2,200,200,1,2
r_2296_8,16,15,170,90,2,1,2,1,2,2,50,160,1,2
r_2296_9,14,1,150,170,2,2,2,2,2,2,200,200,2,2
r_2296_10,18,0,110,150,2,2,2,2,2,2,200,200,2,2
r_2297_0,8,7,10,170,1,2,1,2,2,1,240,50,2,2
r_2297_1,16,10,90,30,2,2,1,1,1,1,110,170,2,2
r_2297_2,13,20,50,10,1,2,1,1,1,1,150,190,2,2
r_2297_3,17,18,10,150,1,2,1,2,2,1,240,50,2,2
r_2297_4,0,12,150,130,2,2,2,2,2,2,200,200,2,2
r_2297_5,11,6,90,170,1,2,2,2,2,1,200,200,2,1
r_2297_6,3,5,30,130,1,2,1,2,2,1,220,50,2,2
r_2297_7,21,1,90,150,2,2,2,2,2,2,200,200,2,2
r_2297_8,2,14,10,130,1,2,1,1,1,2,190,70,2,1
r_2297_9,9,4,170,70,2,2,2,2,1,2,200,200,1,2
r_2297_10,19,15,110,50,2,2,2,2,2,1,200,200,2,1
r_2298_0,9,6,150,50,2,1,2,2,1,2,200,200,1,2
r_2298_1,8,13,30,130,1,2,1,1,1,1,170,70,2,2
r_2298_2,21,11,110,30,2,1,2,2,2,2,200,200,2,2
r_2298_3,14,1,70,130,2,2,2,2,2,2,200,200,2,2
r_2298_4,15,3,110,190,1,2,2,2,2,1,200,200,2,1
r_2298_5,0,17,10,190,2,2,1,2,2,1,240,50,2,2
r_2298_6,2,10,90,90,2,2,2,2,1,1,200,200,1,1
r_2298_7,5,4,30,30,1,1,1,1,1,1,170,170,2,2
r_2298_8,18,7,30,130,2,2,2,2,2,1,200,200,2,1
r_2298_9,20,16,110,70,2,2,2,2,2,1,200,200,2,1
r_2298_10,19,12,190,190,2,2,2,2,2,2,200,200,2,2
r_2299_0,21,6,50,190,2,2,2,2,2,2,200,200,2,2
r_2299_1,3,1,170,90,2,2,2,1,1,2,50,160,2,2
r_2299_2,17,5,90,90,2,2,1,1,1,1,110,110,2,2
r_2299_3,0,14,110,130,2,2,2,2,2,2,200,200,2,2
r_2299_4,15,11,150,170,2,2,2,2,2,2,200,200,2,2
r_2299_5,8,4,30,70,1,2,1,1,1,1,170,130,2,2
r_2299_6,19,9,30,70,1,2,2,1,2,1,50,180,1,1
r_2299_7,7,13,70,70,2,2,1,1,1,1,130,130,2,2
r_2299_8,2,12,150,70,2,2,2,2,1,2,200,200,1,2
